Time VDUs
17:37:44 1
17:38:17 1
17:38:49 1
17:39:21 1
17:39:54 1
17:40:26 1
17:40:58 1
17:41:31 1
17:42:03 2
17:42:35 2
17:43:08 2
17:43:40 2
17:44:12 2
17:44:45 2
17:45:17 2
17:45:49 3
17:46:22 3
17:46:54 3
17:47:26 3
17:47:59 4
17:48:31 4
17:49:04 4
17:49:36 5
17:50:09 5
17:50:41 5
17:51:14 5
17:51:46 6
17:52:19 6
17:52:52 6
17:53:24 6
17:53:57 7
17:54:30 7
17:55:03 7
17:55:35 7
17:56:08 7
17:56:41 8
17:57:14 8
17:57:47 8
17:58:20 8
17:58:53 9
17:59:26 9
17:59:58 9
18:00:31 9
18:01:04 9
18:01:36 9
18:02:09 9
18:02:42 9
18:03:14 9
18:03:47 9
18:04:19 9
18:04:52 7
18:05:24 6
18:05:56 6
18:06:29 5
18:07:01 1
