Time VDUs
19:25:13 1
19:25:46 1
19:26:18 1
19:26:50 1
19:27:22 1
19:27:55 1
19:28:27 1
19:29:00 1
19:29:32 2
19:30:04 2
19:30:37 2
19:31:09 2
19:31:42 3
19:32:14 3
19:32:47 3
19:33:19 3
19:33:51 4
19:34:24 4
19:34:56 4
19:35:29 5
19:36:01 5
19:36:34 5
19:37:06 5
19:37:39 6
19:38:11 6
19:38:44 6
19:39:16 6
19:39:49 7
19:40:22 7
19:40:54 7
19:41:27 7
19:42:00 7
19:42:33 7
19:43:05 7
19:43:38 7
19:44:11 7
19:44:43 7
19:45:16 7
19:45:49 7
19:46:22 7
19:46:55 7
19:47:27 7
19:48:00 7
19:48:33 7
19:49:05 7
19:49:38 8
19:50:10 8
19:50:43 8
19:51:15 8
19:51:48 7
19:52:20 7
19:52:53 7
19:53:25 7
19:53:57 5
19:54:29 5
19:55:02 5
19:55:34 5
19:56:06 2
19:56:38 1
19:57:10 1
