Time VDUs
17:25:54 1
17:26:27 1
17:26:59 1
17:27:31 1
17:28:04 2
17:28:36 2
17:29:09 2
17:29:41 2
17:30:14 3
17:30:46 3
17:31:18 3
17:31:51 3
17:32:23 5
17:32:56 5
17:33:28 5
17:34:01 6
17:34:34 7
17:35:07 8
17:35:40 8
17:36:13 9
17:36:46 10
17:37:19 11
17:37:52 11
17:38:25 12
17:38:58 12
17:39:31 12
17:40:03 12
17:40:36 11
17:41:09 9
17:41:42 9
17:42:14 9
17:42:47 7
17:43:19 7
17:43:52 7
17:44:24 7
17:44:57 5
17:45:29 4
17:46:02 4
17:46:34 4
17:47:07 4
17:47:39 4
17:48:11 4
17:48:43 3
17:49:16 1
