Time VDUs
12:45:54 1
12:46:26 1
12:46:59 1
12:47:31 1
12:48:04 2
12:48:37 2
12:49:09 2
12:49:42 2
12:50:14 3
12:50:46 3
12:51:19 3
12:51:51 3
12:52:24 4
12:52:56 4
12:53:29 4
12:54:01 5
12:54:34 5
12:55:07 5
12:55:39 5
12:56:11 6
12:56:44 6
12:57:16 6
12:57:49 6
12:58:22 7
12:58:54 7
12:59:27 7
13:00:00 8
13:00:33 8
13:01:05 8
13:01:38 8
13:02:11 9
13:02:44 9
13:03:16 9
13:03:49 9
13:04:22 10
13:04:55 10
13:05:27 10
13:06:00 10
13:06:33 11
13:07:05 11
13:07:38 11
13:08:10 10
13:08:42 10
13:09:15 10
13:09:47 10
13:10:20 9
13:10:52 9
13:11:24 9
13:11:57 9
13:12:29 8
13:13:02 8
13:13:34 8
13:14:06 8
13:14:39 7
13:15:11 7
13:15:43 7
13:16:16 7
13:16:48 6
13:17:20 6
13:17:53 6
13:18:25 5
13:18:58 5
13:19:30 5
13:20:02 5
13:20:34 4
13:21:07 4
13:21:39 4
13:22:11 4
13:22:44 3
13:23:16 3
13:23:49 3
13:24:21 3
13:24:53 2
13:25:26 2
13:25:58 2
13:26:31 1
