Time,VDUs
0.0,1
32.0,1
65.0,1
97.0,1
129.0,2
162.0,2
194.0,3
227.0,3
259.0,4
292.0,4
324.0,5
357.0,5
389.0,6
422.0,6
454.0,7
487.0,8
520.0,8
552.0,9
585.0,9
617.0,9
650.0,9
683.0,9
715.0,9
748.0,9
781.0,9
813.0,9
846.0,9
878.0,9
911.0,9
943.0,9
976.0,9
1009.0,9
1042.0,9
1074.0,9
1107.0,10
1140.0,10
1173.0,10
1206.0,10
1239.0,10
1271.0,10
1303.0,9
1335.0,9
1368.0,9
1400.0,8
1432.0,8
1465.0,7
1497.0,7
1530.0,6
1562.0,6
1594.0,5
1627.0,5
1659.0,4
1691.0,4
1723.0,3
1756.0,3
1788.0,2
1820.0,2
1853.0,1
