Time,VDUs
0.0,1
33.0,1
65.0,1
97.0,1
130.0,1
162.0,1
194.0,1
227.0,1
259.0,2
291.0,2
324.0,2
356.0,2
388.0,2
421.0,2
453.0,2
485.0,3
518.0,3
550.0,3
582.0,3
615.0,4
647.0,4
680.0,4
712.0,5
745.0,5
777.0,5
810.0,5
842.0,6
875.0,6
908.0,6
940.0,6
973.0,7
1006.0,7
1039.0,7
1071.0,7
1104.0,7
1137.0,8
1170.0,8
1203.0,8
1236.0,8
1269.0,9
1302.0,9
1334.0,9
1367.0,9
1400.0,9
1432.0,9
1465.0,9
1498.0,9
1530.0,9
1563.0,9
1595.0,9
1628.0,7
1660.0,6
1692.0,6
1725.0,5
1757.0,1
