Time,VDUs
0.0,1
33.0,1
65.0,1
97.0,1
129.0,1
162.0,1
194.0,1
227.0,1
259.0,2
291.0,2
324.0,2
356.0,2
389.0,3
421.0,3
454.0,3
486.0,3
518.0,4
551.0,4
583.0,4
616.0,5
648.0,5
681.0,5
713.0,5
746.0,6
778.0,6
811.0,6
843.0,6
876.0,7
909.0,7
941.0,7
974.0,7
1007.0,7
1040.0,7
1072.0,7
1105.0,7
1138.0,7
1170.0,7
1203.0,7
1236.0,7
1269.0,7
1302.0,7
1334.0,7
1367.0,7
1400.0,7
1432.0,7
1465.0,8
1497.0,8
1530.0,8
1562.0,8
1595.0,7
1627.0,7
1660.0,7
1692.0,7
1724.0,5
1756.0,5
1789.0,5
1821.0,5
1853.0,2
1885.0,1
1917.0,1
