Time,VDUs
0.0,1
32.0,1
64.0,1
97.0,1
129.0,2
162.0,2
194.0,2
228.0,2
260.0,3
292.0,3
325.0,3
357.0,3
390.0,4
422.0,4
455.0,4
487.0,5
520.0,5
552.0,5
585.0,5
617.0,6
650.0,6
682.0,6
715.0,6
747.0,7
780.0,7
813.0,7
846.0,7
878.0,8
911.0,8
943.0,8
976.0,9
1008.0,9
1041.0,9
1073.0,9
1106.0,10
1138.0,10
1170.0,10
1203.0,10
1235.0,9
1267.0,9
1300.0,9
1332.0,9
1365.0,8
1397.0,8
1429.0,8
1462.0,8
1494.0,7
1527.0,7
1559.0,7
1591.0,6
1624.0,6
1656.0,6
1688.0,6
1720.0,5
1753.0,5
1785.0,5
1817.0,5
1849.0,4
1882.0,4
1914.0,4
1946.0,4
1979.0,3
2011.0,3
2043.0,3
2076.0,2
2108.0,2
2140.0,2
2173.0,2
2205.0,1
