Time VDUs
15:46:42 1
15:47:14 1
15:47:47 1
15:48:19 1
15:48:51 1
15:49:23 1
15:49:56 1
15:50:28 1
15:51:01 2
15:51:33 2
15:52:05 2
15:52:37 2
15:53:10 3
15:53:42 3
15:54:15 3
15:54:47 4
15:55:20 4
15:55:52 4
15:56:25 4
15:56:57 5
15:57:30 5
15:58:02 5
15:58:35 5
15:59:07 6
15:59:40 6
16:00:12 6
16:00:45 6
16:01:17 6
16:01:50 7
16:02:23 7
16:02:55 7
16:03:28 7
16:04:00 7
16:04:33 8
16:05:05 8
16:05:38 8
16:06:10 8
16:06:42 9
16:07:15 9
16:07:47 9
16:08:19 9
16:08:52 9
16:09:24 10
16:09:56 10
16:10:28 10
16:11:01 10
16:11:33 11
16:12:06 11
16:12:38 11
16:13:10 11
16:13:42 11
16:14:15 9
16:14:47 7
16:15:19 4
16:15:52 1
