Time VDUs
17:25:03 1
17:25:36 1
17:26:08 1
17:26:40 1
17:27:13 1
17:27:45 1
17:28:17 1
17:28:50 1
17:29:22 2
17:29:54 2
17:30:27 2
17:30:59 2
17:31:31 3
17:32:04 3
17:32:36 3
17:33:09 3
17:33:41 4
17:34:14 4
17:34:46 4
17:35:18 5
17:35:51 5
17:36:23 5
17:36:56 5
17:37:28 5
17:38:01 6
17:38:33 6
17:39:06 6
17:39:38 6
17:40:11 7
17:40:44 7
17:41:16 7
17:41:49 7
17:42:22 7
17:42:54 7
17:43:27 7
17:44:00 7
17:44:32 7
17:45:04 7
17:45:36 6
17:46:09 6
17:46:41 6
17:47:13 6
17:47:45 3
17:48:17 2
17:48:50 2
17:49:22 2
17:49:54 1
17:50:26 1
